Date,Open,High,Low,Close,Adj Close,Volume
4/12/2020,321.880005,322.570007,319.73999,321.720001,321.720001,62774900
4/13/2020,321.429993,325.130005,320.619995,324.320007,324.320007,56308800
4/14/2020,326.450012,326.929993,323.940002,325.01001,325.01001,57499000
4/15/2020,324.619995,327.200012,324.5,326.859985,326.859985,57792900
4/16/2020,326.470001,327.230011,321.480011,322.959991,322.959991,75738000
4/17/2020,320.950012,321.98999,319.25,320.880005,320.880005,73766600
4/18/2020,321.630005,323.410004,320.769989,323.220001,323.220001,48293000
4/19/2020,322.429993,323.640015,320.850006,321.170013,321.170013,57495000
4/20/2020,322.119995,325.730011,322.079987,325.119995,325.119995,48454200
4/21/2020,321.899994,324.410004,319.640015,323.959991,323.959991,61861700
4/22/2020,325.899994,326.630005,321.329987,326.519989,326.519989,85210800
4/23/2020,328.320007,329.619995,327.730011,328.790009,328.790009,53077900
4/24/2020,327.859985,330.059998,327.859985,330.059998,330.059998,41917900
4/25/2020,331.470001,332.390015,331.179993,332.109985,332.109985,42866400
4/26/2020,331.480011,334.459991,331.130005,334.329987,334.329987,43679400
4/27/2020,333.279999,334.880005,332.299988,334.570007,334.570007,57265200
4/28/2020,335.059998,335.769989,332.959991,335.570007,335.570007,44282100
4/29/2020,336.850006,337.540009,332.01001,332.799988,332.799988,69601100
4/30/2020,335.440002,338.279999,335.410004,337.440002,337.440002,53826100
5/1/2020,336.609985,338.25,335.829987,336.829987,336.829987,41816100
5/2/2020,336.410004,337.420013,335.619995,336.839996,336.839996,47260400
5/3/2020,337.940002,338.339996,336.850006,337.910004,337.910004,35481000
5/4/2020,338.339996,339.100006,336.609985,338.640015,338.640015,38733900
5/5/2020,339.049988,339.609985,336.619995,337.230011,337.230011,68054200
5/6/2020,335.359985,338.799988,335.220001,338.279999,338.279999,42207800
5/7/2020,337.920013,339.720001,337.549988,339.480011,339.480011,55106600
5/8/2020,342.119995,343,339.450012,342.920013,342.920013,48588700
5/9/2020,343.529999,344.209991,342.269989,344.119995,344.119995,38463400
5/10/2020,344.76001,347.859985,344.170013,347.570007,347.570007,50790200
5/11/2020,348.51001,349.899994,346.529999,348.329987,348.329987,58034100
5/12/2020,349.440002,350.720001,348.149994,350.579987,350.579987,48588900
5/13/2020,350.350006,351.299988,349.059998,349.309998,349.309998,66099200
5/14/2020,350.209991,352.709991,349.23999,352.600006,352.600006,54999300
5/15/2020,354.670013,358.75,353.429993,357.700012,357.700012,69540000
5/16/2020,355.869995,356.380005,342.589996,345.390015,345.390015,148011100
5/17/2020,346.130005,347.829987,334.869995,342.570007,342.570007,139156300
5/18/2020,336.709991,342.640015,332.880005,333.209991,333.209991,114465300
5/19/2020,337.549988,342.459991,336.609985,339.790009,339.790009,91462300
5/20/2020,341.820007,342.529999,332.850006,333.890015,333.890015,90293900
5/21/2020,335.820007,336.959991,331,334.059998,334.059998,74744335
